title,link
"Quyết trở lại Võ đài, Tyson Fury bị vợ nổ ‘chiến tranh lạnh’",https://cuoi.tuoitre.vn/quyet-tro-lai-vo-dai-tyson-fury-bi-vo-no-chien-tranh-lanh-20260218161223729.htm
"Dẫn trước 2-0 vẫn hòa đội bét bảng, Arsenal chiến sau trận đấu",https://tuoitre.vn/dan-2-0-van-hoa-doi-bet-bang-arsenal-hon-chien-sau-tran-dau-20260219082838136.htm
